episode,length,total_reward,avg_q,exploration
0,1000,-66.8674698795188,0.503722608089447,1.0
1,1000,-62.732919254659194,0.4370291233062744,0.9950248756218907
2,1000,-45.84837545126425,0.3730293810367584,0.990074503106359
3,1000,-57.59717314487714,0.1820891946554184,0.98514875930981
4,1000,-61.194029850747114,0.1603076308965683,0.9802475217013037
5,1000,-45.45454545454622,0.13089799880981445,0.9753706683595063
6,1000,-46.66666666666738,0.12478765100240707,0.970518077969658
7,1000,-56.67870036101169,0.11879073828458786,0.9656896298205554
8,1000,-59.86622073578678,0.09934001415967941,0.9608852038015477
9,1000,-60.52631578947451,0.09613050520420074,0.9561046803995501
