episode,length,total_reward,avg_q,exploration
0,29,9.0,0.22681818902492523,1.0
1,19,-3.0,0.22681818902492523,0.9950248756218907
2,14,-4.0,0.22681818902492523,0.990074503106359
3,28,0.0,0.26493147015571594,0.98514875930981
4,27,-5.0,0.3008118271827698,0.9802475217013037
5,13,-5.0,0.3050028085708618,0.9753706683595063
6,29,-11.0,0.29241645336151123,0.970518077969658
7,20,-10.0,0.25920602679252625,0.9656896298205554
8,15,-5.0,0.22726008296012878,0.9608852038015477
9,14,-6.0,0.1778106689453125,0.9561046803995501
10,14,-12.0,0.1249827966094017,0.9513479406960699
11,27,3.0,0.04989694058895111,0.9466148663642487
12,13,-11.0,0.02703280560672283,0.9419053396659193
13,11,-9.0,-0.0019088818226009607,0.937219243448676
14,30,-4.0,-0.07066851109266281,0.9325564611429613
15,10,-8.0,-0.09154479205608368,0.9279168767591656
16,17,-1.0,-0.13494227826595306,0.9233003748847419
17,17,-11.0,-0.17627258598804474,0.9187068406813353
18,20,-8.0,-0.24835841357707977,0.9141361598819259
19,10,-8.0,-0.2830789387226105,0.909588218787986
20,11,-9.0,-0.3336600363254547,0.9050629042666528
21,15,-5.0,-0.41019317507743835,0.9005601037479133
22,32,6.0,-0.6533290147781372,0.8960797052218044
23,14,-12.0,-0.7621354460716248,0.8916215972356263
24,17,-11.0,-0.908538281917572,0.8871856688911706
25,9,-7.0,-0.9736362099647522,0.8827718098419609
26,34,-2.0,-1.1245049238204956,0.8783799102905084
27,39,-7.0,-1.3530681133270264,0.8740098609855806
28,30,6.0,-1.3941360712051392,0.8696615532194834
29,31,-11.0,-1.2668715715408325,0.8653348788253566
30,24,8.0,-1.1208422183990479,0.8610297301744844
31,59,-7.0,-0.8546345233917236,0.8567460001736164
32,11,-9.0,-0.8919898271560669,0.8524835822623049
33,100,-2.0,-0.7272588014602661,0.8482423704102537
34,13,-9.0,-0.5512255430221558,0.8440222591146804
35,34,-12.0,-0.23345248401165009,0.839823143397692
36,22,-20.0,0.08375440537929535,0.8356449188036738
37,22,-18.0,0.3023332357406616,0.8314874813966904
38,43,5.0,0.4370868504047394,0.827350727757901
39,30,-6.0,0.5805442929267883,0.8232345549829861
40,35,-19.0,0.8408233523368835,0.8191388606795883
41,38,-36.0,0.8765121102333069,0.8150635429647646
42,17,-5.0,0.8100561499595642,0.8110085004624524
43,33,-9.0,0.8475710153579712,0.8069736323009478
44,18,-4.0,0.7663384079933167,0.8029588381103959
45,57,-45.0,1.3213868141174316,0.7989640180202945
46,13,-11.0,1.6673306226730347,0.7949890726570096
47,83,-9.0,2.3523409366607666,0.7910339031413032
48,28,-22.0,2.4358949661254883,0.7870984110858739
49,30,-2.0,2.897456169128418,0.7831824985929094
50,41,-13.0,3.292268991470337,0.7792860682516513
51,17,-7.0,3.655333995819092,0.7754090231359715
52,72,-18.0,3.9036059379577637,0.7715512668019617
53,20,4.0,3.961148500442505,0.7677127032855341
54,19,-5.0,4.315065860748291,0.763893237100034
55,78,-36.0,4.317135334014893,0.7600927732338647
56,24,0.0,5.04919958114624,0.7563112171481242
57,36,-18.0,5.6937785148620605,0.752548474774253
