episode,length,total_reward,avg_q,exploration
0,122,-191.74976752250183,-0.060159482061862946,1.0
1,61,-95.93631022801131,0.13257502019405365,0.9950248756218907
2,121,-151.82354209854014,0.008627263829112053,0.990074503106359
3,90,-112.4532865925871,-0.27948203682899475,0.98514875930981
4,120,-374.6496429450976,-0.6661688089370728,0.9802475217013037
5,88,-260.92134546769694,-0.5267605185508728,0.9753706683595063
6,111,-116.7982594829478,0.09827607125043869,0.970518077969658
7,66,-126.20142442343882,0.25662094354629517,0.9656896298205554
8,76,-78.38394592947176,0.453020304441452,0.9608852038015477
9,74,-95.5498693926568,0.6766805052757263,0.9561046803995501
10,130,-92.45123065511304,1.029301643371582,0.9513479406960699
11,92,-469.9630409175455,0.5210065245628357,0.9466148663642487
12,127,-209.5816553430946,0.673439621925354,0.9419053396659193
13,83,-53.06044233282101,0.17211289703845978,0.937219243448676
14,75,-61.201009545868075,0.7714231610298157,0.9325564611429613
15,110,-220.13384715493436,0.6801089644432068,0.9279168767591656
16,95,-54.67396903099848,1.5462902784347534,0.9233003748847419
17,99,-115.74729673430764,0.5754146575927734,0.9187068406813353
18,97,-281.003379309503,1.2375645637512207,0.9141361598819259
19,120,-440.1312773200509,0.37808457016944885,0.909588218787986
20,125,-71.39934953267371,0.6429453492164612,0.9050629042666528
21,81,-179.55525147073104,1.0537408590316772,0.9005601037479133
22,86,-82.85692786610363,1.2288801670074463,0.8960797052218044
23,89,-60.38367791667065,0.690217912197113,0.8916215972356263
24,113,-120.86465714979182,0.8432826995849609,0.8871856688911706
25,102,-251.133024617232,1.4841679334640503,0.8827718098419609
26,93,-177.81950171124046,0.9936186671257019,0.8783799102905084
27,79,-122.46647419959652,1.707098364830017,0.8740098609855806
28,80,-113.97646515119294,1.7779401540756226,0.8696615532194834
29,82,-107.90307275809225,0.8581929206848145,0.8653348788253566
30,107,-130.38160482208238,1.592667818069458,0.8610297301744844
31,101,-101.85932095688284,2.767097234725952,0.8567460001736164
32,158,-124.52638600555665,3.387671709060669,0.8524835822623049
33,140,-210.80657920169827,2.8326022624969482,0.8482423704102537
34,94,-99.08789180548636,1.6947606801986694,0.8440222591146804
35,88,-209.501584645378,2.569011688232422,0.839823143397692
36,126,-128.54226637972516,1.470889925956726,0.8356449188036738
37,91,-96.14025109521756,2.821347951889038,0.8314874813966904
38,78,-238.8122925050489,2.9966206550598145,0.827350727757901
39,156,-302.69736516539035,3.1680359840393066,0.8232345549829861
40,101,-112.73368724526225,4.827263832092285,0.8191388606795883
41,95,-147.07074445677392,4.229518890380859,0.8150635429647646
42,101,-80.63925793713696,4.954070568084717,0.8110085004624524
43,112,-91.67027460107275,3.9927566051483154,0.8069736323009478
44,98,-323.030349856502,2.677246570587158,0.8029588381103959
45,84,-231.15712976157187,5.183931827545166,0.7989640180202945
46,107,-326.9236462104336,3.72965931892395,0.7949890726570096
47,92,-78.09750848054864,3.6151692867279053,0.7910339031413032
48,85,-129.02755301763196,5.183565616607666,0.7870984110858739
49,115,-251.01134636409475,3.870483875274658,0.7831824985929094
50,129,-171.3927733822987,5.172553539276123,0.7792860682516513
51,119,-353.7308413519886,4.826169490814209,0.7754090231359715
52,119,-268.3539797766455,4.3780903816223145,0.7715512668019617
53,74,-201.73475852016276,5.393532752990723,0.7677127032855341
54,116,-344.87057526751886,4.417669296264648,0.763893237100034
55,136,-216.2880178724931,4.885409832000732,0.7600927732338647
56,79,-102.41867553132762,4.852607727050781,0.7563112171481242
57,89,-64.82495260653661,4.363107204437256,0.752548474774253
58,112,-18.46838571856364,4.192999362945557,0.7488044525116946
59,85,-208.90394773623137,6.061590671539307,0.7450790572255668
60,132,-81.48359856212339,5.0605950355529785,0.7413721962443451
61,133,-77.30147406987535,4.940949440002441,0.7376837773575574
62,108,-213.60539563511355,6.15728759765625,0.73401370881349
63,113,-57.5476300845236,4.932199001312256,0.7303618993169055
64,128,-203.22248658574807,5.722800254821777,0.7267282580267718
65,91,-134.45251397543413,6.7213945388793945,0.7231126945540018
66,151,-217.44034037189513,4.857903480529785,0.719515118959206
67,136,-11.138762631205395,6.644519329071045,0.7159354417504538
68,119,-121.07479877186366,6.553292751312256,0.7123735738810486
69,133,-60.69421619798648,5.5074944496154785,0.7088294267473121
70,184,-95.29637405366745,5.833782196044922,0.7053029121863803
71,172,-71.72748907811427,4.701368808746338,0.7017939424740103
72,113,-125.98898851926317,5.496343612670898,0.6983024303223984
73,141,-58.009111637743956,5.3636088371276855,0.6948282888780084
74,173,-108.18367047729366,5.7770676612854,0.6913714317194114
75,133,-129.980399484675,6.962686061859131,0.6879317728551358
76,144,-228.86041509726482,6.508555889129639,0.6845092267215283
77,154,-248.9984140377427,6.317379474639893,0.6811037081806252
78,74,-112.23798346400845,5.999544620513916,0.6777151325180351
79,142,-36.2824809690611,5.625061988830566,0.674343415440831
80,183,-255.97069339839084,7.389222621917725,0.6709884730754538
81,83,-99.62844476929675,6.439525604248047,0.6676502219656257
82,97,-64.94796712202549,7.0168914794921875,0.6643285790702744
83,120,-275.9603606882702,6.7304558753967285,0.6610234617614672
84,168,-111.16742196017604,6.262528896331787,0.6577347878223555
85,98,-179.18956019774447,6.717432498931885,0.6544624754451299
86,122,-22.900932108867707,7.204881191253662,0.651206443228985
87,153,-24.1711028247598,7.602935791015625,0.6479666101780946
88,166,-59.951452663174294,7.632748603820801,0.6447428956995968
89,169,-178.15529696997578,7.761562347412109,0.6415352196015889
90,81,-160.27371801450275,7.353183746337891,0.6383435020911333
91,112,-111.68294033523684,8.356165885925293,0.6351676637722721
92,196,-88.9105103763302,8.300963401794434,0.6320076256440519
93,165,-25.530331960781993,8.501952171325684,0.6288633090985591
94,115,-146.1223262837159,8.33338451385498,0.6257346359189644
95,93,-67.15566701146145,8.338859558105469,0.6226215282775766
96,229,-102.13261186661435,10.48675537109375,0.6195239087339071
97,115,-83.04101597368998,10.246134757995605,0.6164417002327434
98,111,-55.9694894351459,9.382387161254883,0.6133748261022323
99,122,-205.47840065398847,9.332525253295898,0.6103232100519724
100,192,-84.85991265296774,9.962759971618652,0.6072867761711169
101,105,-42.69773236216874,9.893153190612793,0.6042654489264846
102,117,-85.93557248343062,10.575278282165527,0.6012591531606812
103,89,-85.57249288164411,9.635265350341797,0.5982678140902301
104,167,-40.094605252171604,9.966995239257812,0.5952913573037116
105,134,-12.558932459312615,10.602675437927246,0.5923297087599121
106,117,-25.469702570430925,10.680044174194336,0.5893827947859822
107,143,-68.07035460226719,9.944206237792969,0.5864505420756042
108,217,-34.58560463619541,8.859539985656738,0.5835328776871684
109,90,-105.48139258971865,10.59913158416748,0.5806297290419588
110,109,-65.58070258173235,10.339896202087402,0.577741023922347
